llm,dataset,method_a,method_b,paired_n,method_a_paired_correct,method_b_paired_correct,method_a_total,method_b_total,method_a_source_accuracy_pct,method_b_source_accuracy_pct,paired_delta_accuracy_pct,a_correct_b_wrong,a_wrong_b_correct,mcnemar_p_value,mcnemar_significant_0_05,paired_t_statistic,paired_t_p_value,paired_t_significant_0_05,source_a,source_b
nemotron-3-nano:30b,Parathyroid,Single-pass RAG w/ rerank,Agentic Workflow,43,37,38,43,43,86.05,88.37,2.33,3,4,1,False,0.374166,0.710163,False,results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_ParathyroidGlandAndBoneDisease_dataset_diabetesVectorTool512_100_nemotron-3-nano_30b-cloud_qwen3-embedding_8b_1.json,results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_ParathyroidGlandAndBoneDisease.json
nemotron-3-nano:30b,Pituitary,Single-pass RAG w/ rerank,Agentic Workflow,54,39,40,54,54,72.22,74.07,1.85,4,5,1,False,0.330573,0.742271,False,results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_PituitaryGlandAndHypothalamus_dataset_diabetesVectorTool512_100_nemotron-3-nano_30b-cloud_qwen3-embedding_8b_1.json,results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_PituitaryGlandAndHypothalamus.json
nemotron-3-nano:30b,Adrenal,Single-pass RAG w/ rerank,Agentic Workflow,50,38,39,50,50,76.00,78.00,2.00,5,6,1,False,0.298753,0.766392,False,results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_AdrenalGlands_dataset_diabetesVectorTool512_100_nemotron-3-nano_30b-cloud_qwen3-embedding_8b_1.json,results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_AdrenalGlands.json
nemotron-3-nano:30b,Reproductive,Single-pass RAG w/ rerank,Agentic Workflow,42,28,29,42,42,66.67,69.05,2.38,2,3,1,False,0.442913,0.660157,False,results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_ReproductiveEndocrinology_dataset_diabetesVectorTool512_100_nemotron-3-nano_30b-cloud_qwen3-embedding_8b_1.json,results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_ReproductiveEndocrinology.json
nemotron-3-nano:30b,UKEU,Single-pass RAG w/ rerank,Agentic Workflow,85,53,50,85,85,62.35,58.82,-3.53,14,11,0.690038,False,-0.597727,0.55163,False,results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_UKEU_diabetesVectorTool512_100_nemotron-3-nano_30b-cloud_qwen3-embedding_8b_1.json,results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_UKEU.json
nemotron-3-nano:30b,All datasets,Single-pass RAG w/ rerank,Agentic Workflow,386,289,292,386,386,74.87,75.65,0.78,34,37,0.812589,False,0.355631,0.722311,False,results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_MCQs_sample_questions2015_full_diabetesVectorTool512_100_nemotron-3-nano_30b-cloud_qwen3-embedding_8b_1.json;results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_ThyroidGland_dataset_diabetesVectorTool512_100_nemotron-3-nano_30b-cloud_qwen3-embedding_8b_1.json;results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_ParathyroidGlandAndBoneDisease_dataset_diabetesVectorTool512_100_nemotron-3-nano_30b-cloud_qwen3-embedding_8b_1.json;results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_PituitaryGlandAndHypothalamus_dataset_diabetesVectorTool512_100_nemotron-3-nano_30b-cloud_qwen3-embedding_8b_1.json;results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_AdrenalGlands_dataset_diabetesVectorTool512_100_nemotron-3-nano_30b-cloud_qwen3-embedding_8b_1.json;results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_ReproductiveEndocrinology_dataset_diabetesVectorTool512_100_nemotron-3-nano_30b-cloud_qwen3-embedding_8b_1.json;results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_UKEU_diabetesVectorTool512_100_nemotron-3-nano_30b-cloud_qwen3-embedding_8b_1.json,results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_Diabetes.json;results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_ThyroidGland.json;results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_ParathyroidGlandAndBoneDisease.json;results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_PituitaryGlandAndHypothalamus.json;results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_AdrenalGlands.json;results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_ReproductiveEndocrinology.json;results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_UKEU.json
mistral-small3.2:24b,Diabetes,Single-pass RAG w/ rerank,Agentic Workflow,53,34,39,53,53,64.15,73.58,9.43,4,9,0.266846,False,1.39923,0.167682,False,results/Method_vectorRAG/mistral-small3.2:24b/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_MCQs_sample_questions2015_full_diabetesVectorTool512_100_mistral-small3.2_24b_qwen3-embedding_8b_1.json,results/Method_vectorRAG/mistral-small3.2:24b/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_Diabetes.json
mistral-small3.2:24b,Thyroid,Single-pass RAG w/ rerank,Agentic Workflow,59,49,52,59,59,83.05,88.14,5.08,2,5,0.453125,False,1.1367,0.26034,False,results/Method_vectorRAG/mistral-small3.2:24b/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_ThyroidGland_dataset_diabetesVectorTool512_100_mistral-small3.2_24b_qwen3-embedding_8b_1.json,results/Method_vectorRAG/mistral-small3.2:24b/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_ThyroidGland.json
mistral-small3.2:24b,Parathyroid,Single-pass RAG w/ rerank,Agentic Workflow,43,36,39,43,43,83.72,90.70,6.98,0,3,0.25,False,1.77482,0.083175,False,results/Method_vectorRAG/mistral-small3.2:24b/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_ParathyroidGlandAndBoneDisease_dataset_diabetesVectorTool512_100_mistral-small3.2_24b_qwen3-embedding_8b_1.json,results/Method_vectorRAG/mistral-small3.2:24b/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_ParathyroidGlandAndBoneDisease.json
mistral-small3.2:24b,Pituitary,Single-pass RAG w/ rerank,Agentic Workflow,54,41,34,54,54,75.93,62.96,-12.96,7,0,0.015625,True,-2.80956,0.00693377,True,results/Method_vectorRAG/mistral-small3.2:24b/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_PituitaryGlandAndHypothalamus_dataset_diabetesVectorTool512_100_mistral-small3.2_24b_qwen3-embedding_8b_1.json,results/Method_vectorRAG/mistral-small3.2:24b/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_PituitaryGlandAndHypothalamus.json
